,Gene,Old Human,Old Organoid,Young Human,Young Organoid
26099,TBC1D20,199.0,205.99900000000002,163.0,134.0
26100,TBC1D21,1.0,0.0,0.0,0.0
26101,TBC1D22A,182.0,212.99900000000002,56.998999999999995,59.18099999999998
26102,TBC1D22B,40.0,51.0,44.0,80.91299999999998
26103,TBC1D23,230.0,159.0,168.0,368.0
26104,TBC1D24,325.999,74.0,81.0,84.0
26105,TBC1D25,101.0,132.0,200.0,82.0
26106,TBC1D26,0.0,3.0,0.0,1.0
26107,TBC1D27,2.0,2.0,3.0,1.0
26108,TBC1D28,1.0,1.724,0.0,0.0
26109,TBC1D29,2.0,1.0,1.0,2.0
26110,TBC1D2B,497.0,395.87200000000007,175.07299999999998,266.0
26111,TBC1D3,4.161,15.514,3.757,0.0
26112,TBC1D30,6.0,61.0,22.0,23.0
26113,TBC1D31,23.0,47.0,17.0,80.0
26114,TBC1D32,9.0,39.0,13.0,22.0
26115,TBC1D3B,1.936,0.0,2.909,0.0
26116,TBC1D3C,0.0,0.0,5.074,0.0
26117,TBC1D3F,3.184,0.0,0.0,0.0
26118,TBC1D3H,36.406,51.775,65.038,0.0
26119,TBC1D3P1-DHX40P1,1.638,1.377,1.167,10.572
26120,TBC1D3P2,0.0,1.098,1.159,2.738
26121,TBC1D3P5,0.0,1.0,0.0,0.0
26122,TBC1D4,134.0,93.0,67.0,95.0
26123,TBC1D5,287.681,222.99900000000002,64.99900000000002,75.99900000000002
26124,TBC1D7,79.0,71.0,18.0,36.0
26125,TBC1D8,471.0,435.0,224.0,170.0
26126,TBC1D8B,120.0,86.0,103.0,75.0
26127,TBC1D9,110.0,189.0,137.0,183.0
26128,TBC1D9B,1319.0,868.0,399.0,329.0
26129,TBCA,474.0,340.0,491.0,729.0
26130,TBCB,168.0,234.0,119.0,112.0
26131,TBCC,80.0,89.0,70.0,68.0
26132,TBCCD1,77.0,82.0,80.0,55.0
26133,TBCD,465.001,375.0,416.0,144.0
26134,TBCE,90.0,143.0,118.0,129.0
26135,TBCEL,180.0,112.0,60.0,131.0
26136,TBCK,132.0,38.0,55.0,72.999
26137,TBK1,147.0,186.0,169.0,288.0
26138,TBKBP1,30.0,52.001000000000005,42.0,38.0
26139,TBL1X,776.0,244.0,292.0,137.18099999999993
26140,TBL1XR1,283.0,530.001,435.0,553.0
26141,TBL1Y,4.0,0.0,23.0,8.210999999999999
26142,TBL2,183.0,173.0,141.0,77.0
26143,TBL3,313.0,239.0,126.0,92.0
26144,TBP,66.0,126.34200000000001,32.571,40.357
26145,TBPL1,40.0,55.0,68.0,119.0
26146,TBPL2,0.0,1.0,0.0,2.0
26147,TBR1,0.0,7.0,2.0,1.0
26148,TBRG1,234.0,153.99900000000002,212.0,73.00199999999995
26149,TBRG4,226.0,327.0,254.0,149.0
26150,TBX1,0.0,7.0,2.0,2.0
26151,TBX10,5.0,7.0,6.0,3.0
26152,TBX15,368.0,84.0,217.0,69.0
26153,TBX18,1.0,38.0,2.0,111.0
26154,TBX19,9.0,15.0,20.0,20.0
26155,TBX2,13.0,24.0,47.0,75.0
26156,TBX20,2.0,3.0,0.0,6.0
26157,TBX21,6.0,0.0,21.0,2.0
26158,TBX22,0.0,0.0,0.0,0.0
26159,TBX3,406.0,59.0,305.0,43.0
26160,TBX4,0.0,5.0,0.0,7.0
26161,TBX5,1.0,2.0,2.0,3.0
26162,TBX5-AS1,1.0,0.0,2.0,2.0
26163,TBX6,14.0,15.0,15.0,8.0
26164,TBXA2R,17.0,13.0,44.0,13.0
26165,TBXAS1,18.0,17.0,84.0,10.0
26166,TC2N,7.0,106.0,25.0,168.0
26167,TCAIM,431.0,190.00099999999998,104.0,149.0
26168,TCAM1P,8.0,40.0,3.0,22.0
26169,TCAP,7.0,9.0,7.0,6.0
26170,TCEA1,705.001,570.0,315.0,667.0
26171,TCEA2,340.001,41.0,115.0,39.0
26172,TCEA3,1429.0,471.0,1185.0,222.0
26173,TCEAL1,34.0,51.0,50.0,61.0
26174,TCEAL2,1.027,2.053,1.022,3.076
26175,TCEAL3,14.0,87.0,16.0,120.916
26176,TCEAL4,436.0,231.02600000000007,146.99900000000002,280.0619999999999
